balance_date,fund,series,account,cash_balance,sweep_balance,projected_total_balance
2024-11-13,PRIME,2YIG,MAIN,$0.00,$0.00,$0.00
2024-11-13,PRIME,2YIG,MARGIN,$0.00,$0.00,$0.00
2024-11-13,PRIME,USGM,MAIN,$0.00,$0.00,$0.00
2024-11-13,PRIME,USGM,MARGIN,$0.00,$0.00,$0.00
2024-11-13,PRIME,MONTHLY1,MAIN,$0.00,$0.00,$0.00
2024-11-13,PRIME,MONTHLY1,MARGIN,$0.00,$0.00,$0.00
2024-11-13,PRIME,CUSTOM1,MAIN,$0.00,"$5,278,659.55","$5,278,659.55"
2024-11-13,PRIME,CUSTOM1,MARGIN,$0.00,"$1,420,791.78","$1,420,791.78"
2024-11-13,PRIME,Q364,MAIN,$0.00,"$5,028,138.19","$5,028,138.19"
2024-11-13,PRIME,Q364,MARGIN,$0.00,"$5,612,279.66","$5,612,279.66"
2024-11-13,PRIME,MONTHLY,MAIN,$0.00,"$32,816,516.39","$32,816,517.28"
2024-11-13,PRIME,MONTHLY,MARGIN,$0.00,"$9,884,442.91","$8,888,785.70"
2024-11-13,MMT,MASTER,MAIN,$0.00,"-$329,892.77","-$329,892.77"
2024-11-13,MMT,TERM,MAIN,$0.00,"-$329,892.77","-$329,892.77"
2024-11-13,MMT,MASTER,MARGIN,$0.00,$0.00,$0.00
2024-11-13,MMT,TERM,MARGIN,$0.00,$0.00,$0.00
2024-11-14,USG,MASTER,MAIN,$0.00,"$70,719,314.55","-$35,308.48"
2024-11-14,USG,MONTHLY,MAIN,$0.00,"$70,719,314.55","-$35,308.48"
2024-11-14,USG,MASTER,MARGIN,$0.00,"$1,567,253.82","$1,606,453.70"
2024-11-14,USG,MONTHLY,MARGIN,$0.00,"$1,567,253.82","$1,606,453.70"
2024-11-14,PRIME,MASTER,MAIN,$0.00,"$154,773,980.53","$156,492,073.42"
2024-11-14,PRIME,MASTER,MARGIN,$0.00,"$30,995,395.04","$31,765,802.70"
2024-11-14,PRIME,A1,MAIN,$0.00,"$7,195,469.91","$7,195,469.91"
2024-11-14,PRIME,A1,MARGIN,$0.00,$0.00,$0.00
2024-11-14,PRIME,2YIG,MAIN,$0.00,$0.00,$0.00
2024-11-14,PRIME,2YIG,MARGIN,$0.00,$0.00,$0.00
2024-11-14,PRIME,CUSTOM1,MAIN,$0.00,"$4,089,875.91","$3,362,885.14"
2024-11-14,PRIME,CUSTOM1,MARGIN,$0.00,"$1,229,957.00","$1,229,957.00"
2024-11-14,PRIME,MONTHLY,MAIN,$0.00,"$23,893,554.75","$27,146,770.00"
2024-11-14,PRIME,MONTHLY,MARGIN,$0.00,"$7,316,180.21","$8,086,587.87"
2024-11-14,PRIME,Q364,MAIN,$0.00,"$18,692,751.67","$19,105,609.43"
2024-11-14,PRIME,Q364,MARGIN,$0.00,"$5,266,918.16","$5,266,918.16"
2024-11-14,PRIME,A2Y,MAIN,$0.00,"$2,167,326.17","$2,167,326.17"
2024-11-14,PRIME,A2Y,MARGIN,$0.00,"$4,192,034.46","$4,192,034.46"
2024-11-14,PRIME,MONTHLYIG,MAIN,$0.00,"$40,337,941.06","$38,835,484.30"
2024-11-14,PRIME,MONTHLYIG,MARGIN,$0.00,"$5,953,506.52","$5,953,506.52"
2024-11-14,PRIME,USGM,MAIN,$0.00,"$2,932,318.33","$2,932,318.33"
2024-11-14,PRIME,USGM,MARGIN,$0.00,$0.00,$0.00
2024-11-14,PRIME,MONTHLY1,MAIN,$0.00,$0.00,$0.00
2024-11-14,PRIME,MONTHLY1,MARGIN,$0.00,$0.00,$0.00
2024-11-14,PRIME,QUARTERLYX,MAIN,$0.00,"$13,125,241.35","$13,406,700.39"
2024-11-14,PRIME,QUARTERLYX,MARGIN,$0.00,"$3,530,882.64","$3,530,882.64"
2024-11-14,PRIME,QUARTERLY1,MAIN,$0.00,"$42,339,502.31","$42,339,510.68"
